date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:12	240/240	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Sep%202023%2020:13:30%20GMT	https://html.bslthemes.com/robots.txt		(from )
22:10:12	48053/48053	---M-Z	200	added ('OK')	text/html	etag:%22bbb5-6055541d42ff2-gzip%22	https://html.bslthemes.com/onovo/	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/index.html	(from )
22:10:13	153111/153111	---MCZ	200	added ('OK')	text/css	etag:W/%226503470e-25617%22	https://html.bslthemes.com/onovo/assets/css/vendors/bootstrap.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/vendors/bootstrap.css	(from https://html.bslthemes.com/onovo/)
22:10:13	73626/73626	---MCZ	200	added ('OK')	text/css	etag:W/%2265034710-11f9a%22	https://html.bslthemes.com/onovo/assets/fonts/font-awesome/css/font-awesome.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/fonts/font-awesome/css/font-awesome.css	(from https://html.bslthemes.com/onovo/)
22:10:13	7713/7713	---MCZ	200	added ('OK')	text/css	etag:W/%226503470e-1e21%22	https://html.bslthemes.com/onovo/assets/css/vendors/magnific-popup.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/vendors/magnific-popup.css	(from https://html.bslthemes.com/onovo/)
22:10:14	3301/3301	---MCZ	200	added ('OK')	text/css	etag:W/%226503470e-ce5%22	https://html.bslthemes.com/onovo/assets/css/vendors/splitting.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/vendors/splitting.css	(from https://html.bslthemes.com/onovo/)
22:10:14	15779/15779	---MCZ	200	added ('OK')	text/css	etag:W/%226503470e-3da3%22	https://html.bslthemes.com/onovo/assets/css/vendors/swiper.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/vendors/swiper.css	(from https://html.bslthemes.com/onovo/)
22:10:14	23848/23848	---MCZ	200	added ('OK')	text/css	etag:W/%226503470e-5d28%22	https://html.bslthemes.com/onovo/assets/css/vendors/animate.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/vendors/animate.css	(from https://html.bslthemes.com/onovo/)
22:10:14	2691/2691	---MCZ	200	added ('OK')	text/css	etag:W/%226503470e-a83%22	https://html.bslthemes.com/onovo/assets/css/vendors/jquery.pagepiling.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/vendors/jquery.pagepiling.css	(from https://html.bslthemes.com/onovo/)
22:10:15	107804/107804	---MCZ	200	added ('OK')	text/css	etag:W/%22650349b8-1a51c%22	https://html.bslthemes.com/onovo/assets/css/style.css	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/assets/css/style.css	(from https://html.bslthemes.com/onovo/)
22:10:16	169288/169288	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22650346fa-29548%22	https://html.bslthemes.com/onovo/favicon.ico	C:/Users/Bonga/Downloads/OneDrive/Desktop/23DIGITAL/DV9NDOOH/html.bslthemes.com/onovo/favicon.ico	(from https://html.bslthemes.com/onovo/)
